60258,61534,61765,63933,65377,72794,76991,83288,87120,89197,85869,80317,75677,75774,73117,74159,75355,73757,74433,74997,74036,74200,73747,76572,76635,78982,83599,85372,87143,90075,83891,78082,75148,75335,78402,79199,75746,75885,77328,71457,68830,69204,67399,66506,63364,64409
58808,60164,61590,61768,63828,65219,72712,77012,83340,87058,89010,85738,80105,75570,75728,73142,74225,75331,73582,74365,75050,74131,74295,73856,76660,77073,79177,83721,85481,87225,90107,83884,78056,75099,75247,78329,79211,76068,76216,77445,71675,68948,69418,67820,66966,64090
57210,58654,60204,61544,61626,63603,65131,72702,76971,83253,86932,88776,85536,80018,75490,75685,73144,74154,75146,73416,74362,75142,74235,74339,73941,77141,77241,79258,83772,85427,87241,90117,83919,78021,75079,75202,78426,79420,76356,76310,77639,71720,69096,69729,68267,67715
56812,57132,58649,60149,61406,61373,63544,65119,72714,76889,83070,86763,88652,85442,79947,75520,75653,73112,74044,75043,73464,74381,75207,74284,74410,74392,77351,77346,79319,83715,85489,87288,90090,83801,77972,75061,75231,78600,79719,76502,76523,77694,71821,69352,70092,68896
55191,56620,57107,58573,60006,61133,61259,63502,65100,72658,76756,82912,86580,88586,85381,79878,75533,75612,72944,73925,75001,73470,74405,75247,74274,74837,74506,77411,77353,79361,83737,85484,87260,90051,83718,77903,75112,75431,78891,79810,76594,76540,77798,72065,69770,70636
55783,55010,56608,57042,58430,59781,61068,61274,63466,65066,72503,76552,82720,86405,88515,85265,79829,75431,75440,72767,73868,74988,73423,74453,75232,74591,74999,74563,77451,77329,79384,83709,85398,87234,89976,83605,77882,75316,75699,78985,79924,76588,76621,77999,72430,70262
55341,55606,54899,56525,56904,58195,59688,61013,61176,63399,64915,72320,76386,82608,86316,88426,85201,79719,75280,75339,72724,73843,75010,73425,74435,75532,74652,74974,74563,77412,77324,79357,83691,85318,87181,89871,83565,78116,75562,75786,79108,79873,76635,76790,78306,72916
56406,55235,55515,54873,56365,56640,58101,59647,60946,61109,63223,64729,72161,76282,82437,86203,88321,85030,79535,75184,75227,72698,73771,74950,73386,74740,75546,74634,74918,74521,77396,77236,79227,83627,85212,87054,89810,83635,78292,75578,75808,78995,79921,76783,77079,78713
55249,56208,55160,55433,54702,56150,56554,58032,59567,60851,60989,63044,64555,72009,76161,82315,86072,88186,84819,79367,75111,75153,72620,73677,74848,73685,74673,75460,74586,74841,74421,77429,77141,79141,83514,85101,86963,89878,83834,78186,75621,75812,79047,79984,76944,77450
57358,55074,56110,55057,55264,54448,56037,56453,57893,59466,60692,60805,62879,64414,71840,75990,82204,85888,87921,84636,79203,75008,75054,72548,73613,75051,73644,74625,75385,74532,74781,74426,77319,77054,79064,83428,85057,87017,90014,83808,78221,75519,75865,79121,80293,77236
56787,57139,54972,55976,54867,55000,54318,55923,56323,57761,59290,60509,60621,62747,64278,71708,75834,81991,85637,87671,84429,79048,74873,75013,72502,73706,74961,73584,74540,75285,74475,74679,74292,77192,76904,78887,83342,85083,87080,89948,83770,78195,75538,75905,79273,80591
58258,56621,57031,54770,55801,54600,54839,54192,55786,56194,57600,59100,60293,60449,62578,64176,71523,75640,81739,85347,87490,84299,78887,74741,74905,72567,73611,74837,73434,74413,75184,74347,74538,74141,77042,76825,78818,83309,85172,87053,89886,83663,78172,75537,76015,79530
58864,58063,56472,56877,54544,55524,54423,54708,54012,55627,55967,57381,58891,60047,60318,62433,64025,71305,75370,81435,85101,87284,84140,78829,74576,74968,72435,73504,74686,73257,74285,75052,74195,74404,73971,76845,76707,78774,83363,85078,86958,89720,83608,78207,75617,76230
60389,58627,57910,56234,56654,54278,55321,54259,54487,53880,55334,55771,57173,58715,59911,60114,62259,63798,71068,75084,81195,84912,87082,83924,78614,74599,74847,72325,73331,74491,73092,74153,74885,74026,74196,73770,76730,76660,78825,83259,84977,86839,89637,83563,78320,75768
60600,60165,58466,57642,55919,56394,54034,55129,54028,54294,53682,55104,55552,56930,58494,59681,59885,62049,63574,70828,74857,80940,84665,86870,83692,78580,74442,74694,72112,73090,74254,72916,73945,74667,73837,74001,73639,76638,76605,78679,83134,84756,86726,89566,83592,78457
